FunctionName,RelativePath,CountLineCode,CountPath,Cyclomatic,MaxNesting,Knots,CountInput,CountOutput
il_region_command,,38,13,7,2,2,15,14
il_restore_static,,10,1,1,0,0,5,6
il_separator,,13,2,2,1,1,3,1
localtime,,,,,,,,
configuration_fatal_error,,8,1,1,0,0,5,1
configuration_warning,,29,1,1,0,0,4,1
geteuid,,,,,,,,
install_handler,,22,5,6,1,10,6,3
panic,,7,1,1,0,0,1,3
resume,,11,2,2,1,0,2,4
suspend,,15,2,2,1,1,2,8
time_change,,16,3,3,2,1,3,7
window_change,,15,2,2,1,1,2,6
build_message,,86,78,17,4,17,12,12
remove_log,,8,4,3,1,0,5,1
_exit,,,,,,,,
execle,,,,,,,,
fork,,,,,,,,
my_system,,74,87,18,3,6,8,15
wait,,,,,,,,
endpwent,,,,,,,,
tilde_find_prefix,,27,6,6,4,7,4,4
tilde_find_suffix,,19,7,5,3,8,3,3
calc_info_length,,9,1,1,0,0,8,3
clock_refresh,,33,10,8,1,2,10,16
mail_check,,66,63,14,4,7,11,14
xalloc_die,,6,1,1,0,0,5,2
__xreadlink,,18,2,3,1,1,4,3
getwd,,,,,,,,
creat,,,,,,,,
chdir,,,,,,,,
chown,,,,,,,,
getgid,,,,,,,,
link,,,,,,,,
rmdir,,,,,,,,
canceled,,19,2,3,1,1,6,8
closedir,,,,,,,,
cutname,,15,2,4,1,1,5,6
opendir,,,,,,,,
pack_compare_fn,,8,1,1,0,0,3,1
panel_2s_message,,14,1,2,0,0,10,7
panel_3s_message,,15,1,2,0,0,9,7
panel_act_BIN_PACKING,,101,5904,24,4,6,13,14
panel_act_CASE,,40,20,7,3,7,9,15
panel_act_CHDIR,,30,4,7,1,1,6,15
panel_act_CMPDIR,,80,37,13,7,26,13,16
panel_act_COMPARE,,97,29,15,4,19,11,11
panel_act_COPY,,111,174,21,4,25,13,30
panel_act_DELETE,,115,25238,28,6,29,12,29
panel_act_ENTER,,69,27,13,3,13,11,26
panel_act_MKDIR,,55,9,7,2,5,8,20
panel_act_MOVE,,120,936,25,4,30,15,30
panel_act_REGET,,27,12,5,2,3,7,6
panel_beautify_info_number,,30,2,7,1,1,6,6
panel_beautify_number,,9,1,1,0,0,6,2
panel_build_entry_field,,55,10,12,2,21,13,10
panel_case_rename,,100,472,23,4,56,9,26
panel_compare,,143,5488,32,4,26,11,16
panel_copy,,198,1254,45,5,43,11,31
panel_deallocate_patterns,,9,2,2,1,0,2,1
panel_find_index,,37,1296,17,2,11,9,10
panel_fit_number,,18,2,4,1,0,8,6
panel_get_centered_fos,,11,2,4,1,1,7,1
panel_get_fos,,11,2,3,1,1,6,4
panel_get_reserved_characters,,11,2,2,1,1,6,1
panel_isdir,,9,2,2,1,1,3,2
panel_isearch_backward,,17,3,3,2,3,7,2
panel_isearch_forward,,15,3,3,2,3,8,2
panel_load_fti,,36,8,8,3,1,12,8
panel_load_inode,,99,64,24,5,9,20,23
panel_mkdirs,,22,5,5,4,5,3,5
panel_mode2string,,43,192,17,2,7,8,3
panel_move,,140,263,33,4,47,12,25
panel_parse_patterns,,47,10,11,4,9,2,7
panel_percent,,9,2,3,1,1,4,1
panel_read_directory,,199,550408,40,4,18,22,37
panel_recover,,15,2,3,1,0,9,10
panel_set_current_entry,,10,1,3,0,0,11,6
panel_unlink,,8,2,2,1,0,3,2
panel_update_entries,,25,5,6,1,1,14,12
panel_update_entry,,133,37633,38,3,29,27,17
panel_update_frame,,29,5,4,1,1,7,10
panel_update_info,,87,127,18,3,7,20,23
panel_update_path,,20,3,3,1,2,8,9
panel_update_size,,39,4,7,2,2,15,14
panel_warning,,31,12,7,2,12,6,4
readdir,,,,,,,,
same_file,,14,2,2,1,1,6,2
sort_compare_fn,,63,21,24,3,146,12,4
xchg,,8,1,1,0,0,3,2
iscntrl,,,,,,,,
isatty,,,,,,,,
tgetent,,,,,,,,
tgetflag,,,,,,,,
tgetnum,,,,,,,,
tgetstr,,,,,,,,
tgoto,,,,,,,,
tputs,,,,,,,,
tty_end,,12,2,2,1,0,8,6
tty_extract_key,,13,2,2,1,1,3,4
tty_get_capabilities,,118,2084,19,3,16,14,19
tty_init,,24,3,3,1,2,10,16
tty_io_background,,18,3,3,1,2,6,6
tty_io_brightness,,27,7,6,2,2,7,7
tty_io_colors,,8,1,1,0,0,2,3
tty_io_foreground,,18,3,3,1,2,6,6
tty_io_goto,,13,4,3,1,1,9,3
tty_io_reversevid,,27,7,6,2,2,8,7
tty_is_xterm,,15,2,2,1,1,3,3
tty_key_list_insert_sequence,,13,1,1,0,0,4,6
tty_read,,14,4,3,1,0,5,5
tty_reversevid,,6,1,1,0,0,2,1
tty_writec,,9,2,2,1,0,4,4
tty_writes,,11,2,2,1,0,7,5
ttyname,,,,,,,,
fnmatch,,,,,,,,
getopt,,,,,,,,
